번호,분류,언론사,본문
65,IT,한겨레,"국내 대학 최초의 인공지능학부

인간의 학습 추론 판단 등 지적 능력이 컴퓨터 프로그램을 통해 구현되는 인공지능(AI)은 이미 우리의 삶 곳곳에 침투해 있다. 오늘의 날씨와 추천 옷차림과 같은 일상 대화를 누구나 쉽게 인공지능 스피커와 주고받을 수 있으며, 의료 법률 금융계 등 사회 전반에서 인공지능 로봇이 도입되는 중이다. 인공지능은 더 많은 데이터를.."
66,IT,조선일보,"자기 몸무게보다 10배나 되는 짐을 싣고도 치타처럼 빨리 달릴 수 있는 로봇이 개발됐다. 눈으로 보기도 어렵다. 빠르기도 하지만 워낙 작아 마치 바퀴벌레처럼 금방 시야에서 사라지기 때문이다.
 
미국 하버드대의 로버트 우드 교수와 콜로라도대의 카우식 자야람 교수 연구진은 지난 3일(현지 시각) 온라인 행사로 진행된 ‘국제 로봇공학과 자동화 콘퍼런스(IC.."
67,경제,매일경제,"전 세계가 '셧다운'을 한 위기 속에서도 나 홀로 승승장구다. 출판과 유통으로 시작해 클라우드 서비스와 금융, 헬스케어까지 손대는 산업마다 초토화시키는 파괴력을 자랑한다. 약점이란 게 있을까 싶은 기업, 아마존 이야기다. 
아마존을 창업해 세계 최고의 부자가 된 제프 베이조스의 경영 철학, 기업 문화, 리더십에 주목한 책이 나왔다. '베조노믹스'란 말을.."
68,IT,서울경제,"자동차제조용 자동화설비로 상용화의 길을 연 로봇개발의 역사는 이제 단순 산업용 로봇을 넘어 생명체와 자연환경에서 영감을 얻는 방향으로 진화하고 있다. 로봇공학의 관점에서 보면 생명체야말로 바이러스에서부터 고등생명체에 이르기까지 놀라울 정도로 정교하고 효율적으로 환경에 적응해 작동하는 유기체 로봇이기 때문이다. 근래에는 난이도가 높고, 실용성이 불확실한 .."
69,사회,조선일보,"유방암 환자는 병세가 악화하면 가슴 한쪽 또는 양쪽을 잘라내는 수술을 받는다. 미국에서만 매년 10만명 정도가 유방 절제술을 받는데 후유증이 만만치 않다. 암은 수술로 치료되지만, 여성으로서 자존감이 떨어지고 심하면 성기능 장애로까지 이어진다. 
 
미국 시카고대 연구진이 손발 절단 환자의 감각을 되살려준 로봇 기술을 유방 재건술에 적용해 여성들의 삶의.."
70,사회,조선일보,"유방암 환자는 병세가 악화하면 가슴 한쪽 또는 양쪽을 잘라내는 수술을 받는다. 미국에서만 매년 10만명 정도가 유방 절제술을 받는데 후유증이 만만치 않다. 암은 수술로 치료되지만, 여성으로서 자존감이 떨어지고 심하면 성기능 장애로까지 이어진다.
 
미국 시카고대 연구진이 손발 절단 환자의 감각을 되살려준 로봇 기술을 유방 재건술에 적용해 여성들의 삶의 .."
71,IT,KBS,"마르세유 소방대는 바이러스를 박멸하는 로봇을 최초로 도입해 효율적인 방역에 앞장서고 있습니다.

 계단도 거침없이 오르는 이 로봇은 '마리우스'라고 불리는 바이러스 킬링 로봇입니다.

 [위베르/중위/마르세유 해군 로봇공학 책임자 : ""리모트 컨트롤로 작동이 되며 필요한 방대한 장소에 빠르게 진입할 수 있습니다. 주 7일, 하루 24시간 내내 작업이 가.."
72,IT,세계일보,"일이 사라졌다. 정확히는 일자리가 사라졌다. 일자리가 없어 할 일이 사라지는 세상이 됐다. ‘언택트’, 리모트 퍼스트, 자동화, 4차 산업혁명 . 먼 미래의 일이라 생각했던 세상이 신종 코로나바이러스 감염증(코로나19) 이후 우리 앞에 불쑥 나타났다. 인간의 육체노동을 대신했던 기술은 인공지능(AI)과 로봇을 앞세워 서비스업은 물론 지식노동까지 영역을 .."
73,IT,한국경제,1980~2000년대 태어난 ‘밀레니얼 세대’는 전 세계 변화의 중심에 서고 있다. 막강한 영향력을 발휘하며 다양한 분야의 주체로 거듭나고 있다. 이런 현상을 두고 ‘유스퀘이크(Youthquake)’라는 신조어가 자주 사용되고 있다. 유스퀘이크는 청년이 하는 행동에서 비롯된 의미 있는 문화적 정치적 사회적 변화를 의미한다. 밀레니얼 세대는 현재뿐 아니라..
74,IT,조선일보,"덴마크 연구진이 인간 대신 코로나 바이러스 검사를 수행할 수 있는 로봇을 개발했다.
 
덴마크 남부대학교(SDU)는 27일(현지 시각) “SDU 로봇공학 연구진이 단 4주 만의 연구 끝에 세계 최초로 목구멍에서 코로나 바이러스를 채취할 수 있는 완전 자동 로봇을 개발했다”며 “검체 채취 과정에서 의료진을 감염 위험에 노출시키지 않을 수 있게 됐다”고 밝.."
75,IT,아주경제,"코로나19가 확산하며 체온을 재고 병실을 살균하거나 약을 전달하는 로봇이 의료현장에 투입되고 있다. 환자가 급증한 상황에서 의료진의 일손을 덜어줄 수 있고, 감염 우려도 줄일 수 있어서다. 코로나19를 계기로 의료계에서의 로봇 활용사례는 더욱 많아질 것으로 보인다. 
 
해외에서는 이미 의료진 감염을 막기 위한 로봇기술 연구가 활발하다. 미국 경제방송 .."
76,IT,한국일보,"‘미래의 일자리와 기술 2050’


먹고산다고 하지 ‘살고먹는다’고 하지 않는다. 고상한 사람이야 삶을 위해 먹는다고 하겠지만, 대부분은 생계 문제 앞에서는 숨이 턱턱 막힌다. 먹고사는 일에 지침이 되는 의견이나 책에 눈길이 가는 이유일 것이다. 
미래학자 제롬 글렌과 박영숙이 함께 쓴 ‘미래의 일자리와 기술 2050’에는 미래를 걱정하는 이들에게 참.."
77,IT,중앙일보,소중 독자 여러분은 어떻게 코딩에 입문하고 있나요. 지난 2018년 초 중 고등학교 코딩 교육 의무화 이후 방과후 시간에 엔트리를 활용해 코딩 세계에 발을 들인 친구들이 대부분이겠죠. 이에 따라 집에서 코딩한 대로 로봇에 익혀 조종까지 해보는 각종 교구도 등장했죠. 기초부터 조립해 볼 수 있는 입문용 코딩 키트부터 중 고급 교구까지 익숙한 친구들이 많을..
78,경제,아시아경제,"[아시아경제 구은모 기자] 엔비디아(NVIDIA)가 2021회계연도 1분기(2020년 2월~4월) 시장 컨센서스에 부합하는 실적을 내놨다. 2분기에도 데이터센터 매출의 빠른 성장을 근거로 시장 예상치를 상회하는 실적 예상치를 제시해 향후 실적에 대한 자신감이 돋보였다는 평가다. 
 
24일 KB증권에 따르면 엔비디아의 2021회계연도 1분기 매출액은 3.."
79,IT,충청투데이,"[충청투데이 윤지수 기자] 배재대 LINC+사업단이 교육부와 한국연구재단이 진행한 ‘사회맞춤형 산학협력선도대학(LINC+)육성사업’에서 우수한 결과를 일궈냈다. 

21일 배재대에 따르면 LINC+사업단은 기존 운영 중인 ‘3트랙 1과정’을 계속하며 ‘융합보안기반 지능형 모빌리티트랙’을 신규로 운영해 4차 산업혁명 시대 맞춤형 교육을 추진한다. 

배재.."
80,IT,서울신문,"‘600만불의 사나이’는 1970년대 어린 시절을 보냈던 40~50대의 기억 속에 남아 있는 대표적인 미국 드라마이다. 어린이들이 주인공을 흉내내다가 다치거나 죽는 일이 자주 발생해 사회적 문제가 됐던 미드이기도 하다.미국항공우주국(NASA) 소속 우주비행사 스티브 오스틴 대령이 시험비행 중 추락해 한쪽 눈과 팔, 두 다리를 잃는 중상을 입게 됐는데 과.."
81,문화,영남일보,"문인규 DGIST 교수(로봇공학전공)팀은 최근 다양한 비정형 빅데이터의 암호화에 필요한 대용량 비밀키를 빠르고 안전하게 공유할 수 있는 랜덤위상키 교환 기법을 개발했다. 개발된 기술은 효율적인 빅데이터 암호화에 활용 가능한 핵심적인 원천기술로, 향후 관련분야 기술개발에서의 다양한 적용이 기대된다. 

 박종문기자 kpjm@yeongnam.com"
82,IT,매일신문,"대구경북과학기술원(DGIST 총장 국양) 로봇공학전공 문인규 교수팀은 다양한 비정형 빅데이터의 암호화에 필요한 대용량 비밀키를 빠르고 안전하게 공유할 수 있는 랜덤위상키 교환 기법을 개발했다. 
 
 개발된 기술은 효율적인 빅데이터 암호화에 활용 가능한 핵심적인 원천기술로, 향후 관련분야 기술개발에서의 다양한 적용이 기대된다. 
 
 네트워크상에서의 데.."
83,IT,헤럴드경제,"[헤럴드경제=구본혁 기자] 대구경북과학기술원(DGIST) 로봇공학전공 문인규 교수팀은 다양한 비정형 빅데이터의 암호화에 필요한 대용량 비밀키를 빠르고 안전하게 공유할 수 있는 랜덤위상키 교환 기법을 개발했다고 13일 밝혔다. 이 기술은 효율적인 빅데이터 암호화에 활용 가능한 핵심적인 원천기술로, 향후 관련분야 기술개발에서의 다양한 적용이 기대된다. 
 .."
84,IT,서울신문,"DGIST 로봇공학전공 문인규 교수팀이 다양한 비정형 빅데이터의 암호화에 필요한 대용량 비밀키를 빠르고 안전하게 공유할 수 있는 랜덤위상키 교환 기법을 개발했다. 개발된 기술은 효율적인 빅데이터 암호화에 활용 가능한 핵심적인 원천기술로, 향후 관련분야 기술개발에서의 다양한 적용이 기대된다.
문 교수팀은 기존 암호화 방식을 광학적인 원리로 작동하는 새로운.."
85,IT,조선일보,"문인규 교수팀, 광학 원리 이용한 새로운 암호화 방식 고안 
 
빅데이터(대용량 데이터)를 빠르고 안전하게 공유할 수 있는 광학 기반 암호화 기술이 개발됐다. 
 
문인규 대구경북과학기술원(DGIST) 교수(로봇공학) 연구팀은 다양한 비정형 빅데이터의 암호화에 필요한 대용량 비밀키를 빠르고 안전하게 공유할 수 있는 '랜덤위상키 교환 기법'을 개발했다고 .."
86,IT,전자신문,"효율성과 안전성을 높인 광학 기반 데이터 암호화 기법이 개발됐다. 향후 빅데이터 고속 암호화에 활용할 수 있을 것으로 기대된다.

대구경북과학기술원(DGIST?총장 국양)은 문인규 로봇공학전공 교수팀이 다양한 비정형 빅데이터 암호화에 필요한 대용량 비밀키를 빠르고 안전하게 공유할 수 있는 랜덤위상키 교환 기법을 개발했다고 13일 밝혔다. 개발된 기술은 .."
87,지역,동아일보,"○ 상지대(총장 정대화)는 취약계층 지원 및 정부 재정 부담 완화를 위해 ‘긴급재난지원금 기부 캠페인’을 진행하기로 했다고 12일 밝혔다. 정 총장을 비롯해 교무위원 24명의 기부를 시작으로 이달 말까지 대학 구성원에게 캠페인의 취지를 설명하고 자발적 기부 운동을 벌일 계획이다. 기부 참여자 명단은 공개하지 않기로 했다. 
 
 ○ 충북대(총장 김수갑).."
88,사회,충청일보,"[천안=충청일보 김병한 기자] 충남 천안서여자중학교가 2020학년도 초ㆍ중학교를 대상으로 한 로봇코딩 선도학교로 선정됐다고 12일 밝혔다. 

천안서여중에 따르면 로봇코딩 선도학교는 4차 산업혁명시대에 필요한 융ㆍ복합적 인재 양성과 로봇교육 기회 제공을 통한 미래사회 패러다임의 변화 가능성을 예측하고 로봇코딩을 통해 학생들이 실생활에서 로봇을 활용할 수.."
89,IT,전자신문,"충북대(총장 김수갑)는 국립대 최초로 대학 학부과정에 지능로봇공학과를 신설, 오는 9월로 예정된 2021학년도 수시전형모집부터 신입생을 모집한다고 12일 밝혔다. 지능로봇공학과는 총 42명으로 구성하며, 산업체 경력이 풍부한 교수진이 지능형 로봇, 미래 자동차, 사물인터넷(IoT), 스마트팩토리 등 4차 산업혁명 시대 핵심 산업에 대한 교육을 제공한다..."
90,IT,충청일보,"[충청일보 박장미기자] 충북대가 인공지능 및 로봇특성화 관련 학과를 신설하고 2021학년도부터 본격적인 인재 양성에 나선다. 

충북대 전자정보대학은 지능로봇공학과를 신설한다고 11일 밝혔다. 

지능로봇학과는 오는 9월로 예정된 2021학년도 수시전형모집부터 지원 가능하다. 

이 학과는 지능형 로봇, 미래 자동차, 사물 인터넷, 스마트 팩토리 등 4.."
91,IT,충북일보,"［충북일보］ 충북대가 국립대 최초로 인공지능 로봇특성화 학과를 신설한다. 

충북대에 따르면 전자정보대학은 지능로봇공학과를 신설해 내년부터 지능형 로봇, 미래 자동차, 사물 인터넷, 스마트 팩토리 등 4차 산업혁명시대를 이끌 전문기술 인재 양성에 들어간다. 

세계의 인공지능(AI)과 로봇 시장이 급속히 성장하고, 이들 산업에 대한 기술 인력에 대한 수.."
92,IT,한겨레,"4차 산업시대, 핵심은 ‘소프트웨어’와 ‘인공지능’



인공지능(AI)은 ‘인간처럼 생각하는 기계’다. 사람의 학습능력과 추론능력, 지각능력 등을 컴퓨터 프로그램으로 실현한 기술인 인공지능은 4차 산업혁명의 핵심 요소로 떠올랐다. 인공지능과 더불어 사물인터넷, 지능형 로봇, 빅데이터 등 4차 산업혁명시대를 대변하는 모든 것은 소프트웨어를 통해 구현된다.."
93,IT,아시아경제,"[아시아경제 유현석 기자] 휴림로봇은 한양대학교 ERICA와 지능형로봇 교육 시스템 구축을 위한 산학협력을 체결했다고 11일 밝혔다. 
 
휴림로봇은 한양대학교 ERICA와 함께 지능형 서비스로봇 테미를 활용해 ‘산업연계 문제기반 학습시스템 (IC-PBL, Industry-Coupled Problem-Based Learning)’을 구축할 예정이다. 
.."
94,IT,매일경제,"서비스로봇 전문기업 휴림로봇은 한양대 ERICA와 지능형로봇 교육 시스템 구축을 위한 산학협력을 체결했다고 11일 밝혔다. 
휴림로봇은 한양대 ERICA와 함께 지능형 서비스로봇 테미를 활용해 '산업연계 문제기반 학습시스템 (IC-PBL, Industry-Coupled Problem-Based Learning)'을 구축할 예정이다. 
이번 업무협약을 통.."
95,IT,머니투데이,"[머니투데이 김건우 기자] 
 
휴림로봇은 한양대학교 ERICA와 지능형로봇 교육 시스템 구축을 위한 산학협력을 체결했다고 11일 밝혔다. 
 
휴림로봇은 한양대학교 ERICA와 함께 지능형 서비스로봇 테미를 활용해 ‘산업연계 문제기반 학습시스템 (IC-PBL, Industry-Coupled Problem-Based Learning)’을 구축할 예정이다.."
96,사회,영남일보,"대구가톨릭대가 15일 개교 106주년을 맞이한다. 1914년 영남지역 최초로 대학을 설립한 이래 지역사회와 근 현대사를 함께 걸어와 이제 건학 106년을 맞이하게 된 것이다. 

대구가톨릭대는 코로나19 감염 예방을 위해 별도 행사는 개최하지 않는 대신 영상 콘텐츠와 SNS를 통해 개교 106주년을 기념한다. 김정우 총장은 개교기념사를 영상을 통해 전달.."
97,IT,영남일보,"최홍수 DGIST 교수(로봇공학전공)가 '2020년 과학 정보통신의 날' 기념 정부 포상에서 과학기술 진흥부문 국무총리 표창을 받았다.

최 교수는 마이크로로봇을 이용한 세포 이송 개념을 세계 최초로 개발해 마이크로로봇 분야의 새로운 연구 분야를 개척했다. 이와 관련해 국내 외 우수 저널에 70여 편의 논문과 70여 회 이상의 학술 발표를 진행했다. 아.."
98,경제,중앙일보,"세계화의 아성이 허물어지고 있다. 선진국을 중심으로 다른 나라에 의존하지 않는 독자 생산체제를 구축하려 든다. 각국 정부도 자국 산업을 보호하기 위한 정책적 지원을 강구한다. 외부 충격이 몰아쳐도 휘청거리지 않고 내부에서 해결함으로써 살아남으려는 경향이 강해진다는 의미다. 국가 간에 물고 물리는 공급과 수요의 경제사슬이 서서히 끊어지고 있는 셈이다. 
.."
99,경제,중앙일보,"세계화의 아성이 허물어지고 있다. 선진국을 중심으로 다른 나라에 의존하지 않는 독자 생산체제를 구축하려 든다. 각국 정부도 자국 산업을 보호하기 위한 정책적 지원을 강구한다. 외부 충격이 몰아쳐도 휘청거리지 않고 내부에서 해결함으로써 살아남으려는 경향이 강해진다는 의미다. 국가 간에 물고 물리는 공급과 수요의 경제사슬이 서서히 끊어지고 있는 셈이다. 
.."
100,IT,매일신문,"대구경북과학기술원(DGIST 총장 국양) 로봇공학전공 최홍수(사진) 교수가 '2020년 과학 정보통신의 날' 기념 정부 포상에서 과학기술 진흥부문 국무총리표창을 받았다. 
 
 최 교수는 마이크로로봇을 이용한 세포 이송 개념을 세계 최초로 개발해 마이크로로봇 분야의 새로운 연구 분야를 개척했다. 이와 관련해 국내외 우수 저널에 70여 편의 논문과 70여.."
101,IT,전자신문,"최홍수 대구경북과학기술원(DGIST) 로봇공학전공 교수가 '2020년 과학정보통신의 날' 기념 정부 포상에서 과학기술진흥부문 국무총리표창 수상자로 선정됐다. 최홍수 교수는 마이크로로봇을 이용한 세포 이송 개념을 세계 최초로 개발했다. 이와 관련 국내외 우수 저널에 70여편의 논문과 70여회 이상 학술 발표했고, 특허 출원 88건을 보유하는 등 마이크로로.."
102,IT,매일경제,"""연로하거나 근감소증을 겪고 계신 분들이 기기에 의존하지 않고, 근육을 사용할 수 있도록 지원하고 싶습니다.""
엑소시스템즈(대표 이후만 사진)는 근감소증이나 뇌졸중 후유증 등으로 걷기가 불편한 사람을 위해 집에서도 재활 훈련을 받을 수 있도록 '엑소리햅'을 론칭해 CES(세계가전전시회)에서 주목받은 웨어러블 헬스케어 스타트업이다. CES 2020 '헬스.."
103,경제,아주경제,"""코로나19 팬데믹 충격은 기업들의 생산 방식을 영원히 바꿀 것이다.""? 
 
비타 자보치키 영국 옥스퍼드대 교수는 지난 2일(이하 현지시간) 파이낸셜타임스(FT) 기고문에서 이렇게 진단했다. 특히 세계화의 기반이 됐던 글로벌 밸류체인(GVC)은 여러 측면에서 변화가 있을 것이라는 전망을 내놓았다.?? 
 
앞서 미 중 무역전쟁으로 큰 타격을 입었던 G.."
