뉴스 식별자,일자,언론사,정보원,인용문,키워드
1101101.202,20200330,한국일보,unknownactor,"결론부터 말하면 아직 좀 더 지켜봐야 한다. 정부가 밝힌 기준은 ‘소득 하위 70%’뿐이다. 특히 1인당이 아닌 가구당 지원이어서 가구원 수에 따라 소득하위 70%의 기준점이 제각각이다. 저소득 노인층이 많은 1인 가구와 맞벌이 부부가 많은 3인 이상 가구의 평균 소득 수준이 다르다. 똑같이 월 300만원을 벌어도, 3인 가구에선 재난지원금을 받지만 1인 가구에선 70%에 못 낄 수 있다. 정부는 아직 가구원수 별 하위 70%의 정확한 소득 수준을 확정하지 못한 채 이날부터 추산 작업에 돌입했다. 기재부 관계자는 ‘소득하위 70%라는 기준을 사용한 적이 없기 때문에 아직 자료가 없다’고 설명했다. 지난해 4분기 통계청 가계동향조사에 따르면 전체 가구 중 7분위의 평균소득은 535만7,000원이었지만, 가구원수가 반영되지 않아 참고하기 어렵다.
역시 아직 정해지지 않았다. 보건복지부 관계자는 ‘소득만 볼지, 재산까지 소득화해서 소득인정액으로 볼지 논의 중’이라며 ‘또 소득인정액의 경우 제도마다 산정하는 방식이 다 다르다’고 답했다.
△1인 가구는 40만원 △2인 60만원 △3인 80만원 △4인 이상은 100만원이다. 가구원 수가 5명 이상이어도 100만원만 받을 수 있다. 홍남기 경제부총리는 ‘4인 이상 가구로 (재난지원금을) 설계했다는 점에 양해의 말씀을 드린다’고 말했다.
아니다. 강민석 청와대 대변인은 ‘5월 중순 전후로 지급되도록 최선을 다하겠다’고 밝혔다. 재난지원금에 필요한 재원은 2차 추가경정예산으로 마련되는데, 국회 통과가 언제 될 지 장담하기 어려워서다. 문재인 대통령은 ‘신속하게 2차 추경안을 제출해 총선 직후 4월 중으로 국회에서 처리되도록 할 계획’이라고 말했다.
가능하다. 홍 부총리는 ‘이번 재난지원금은 1차 추경 때 드렸던 소비쿠폰과는 별개’라며 ‘소득 하위 70%에 1차 추경 때 드린 것과 관계없이 일괄 지원할 예정’이라고 말했다. 이에 따라 아이 한 명을 기르면서 중위소득의 30% 수준에 해당하는 3인 가구는 △재난지원금 80만원 △소비쿠폰 116만원 △특별돌봄쿠폰 40만원 등 236만원을 수령할 수 있다. 지방자치단체에서 지급하는 코로나19 관련 지원금과도 중복 수령이 가능하도록 열어뒀다. 홍 부총리는 ‘지자체가 정부 지원금을 추가해 다른 규모로 지원할 수도 있다’면서 ‘사정을 더 잘 파악하고 있는 지자체가 탄력적으로 대응하지 않을까 생각한다’고 말했다.
그렇다. 재난지원금은 현금이 아닌 전자화폐 혹은 지역상품권이다. 저금에 쓰이기 보단 단기간 내 소비로 연결되도록 하기 위함이다. 기재부 관계자는 ‘지자체 보조사업이기 때문에 각 지자체가 정한 사용기간에 따를 것’이라고 설명했다. 참고로 서울시 지원금의 사용기한은 6월말까지고, 경기도는 3개월이다.
이 역시 좀 더 살펴봐야 한다. 일각에서는 재산이 많은 노부부는 재난지원금을 받는데, 재산이 없는 맞벌이 부부는 못 받을 거라고 반발한다. 하지만 정부가 아직 재산 포함 기준을 정하기 전이어서 결과를 단언하기 어렵다. 이론적으로는 거주 지자체별로 지원금이 달라질 수 있다. 서울시와 경기도 등 지자체 12곳은 지역 주민에게 5만~40만원씩 재난소득을 주기로 한 만큼, 중앙정부 지원금을 얼마나 더하느냐에 따라 받는 액수가 차이 나게 된다. 하지만 앞으로 지자체가 정부의 지원금을 감안해 최종 지급액수를 조절할 수도 있다.",정부 기준 소득 하위 1인당 가구당 지원 가구원 소득 하위 기준점 제각각 저소득 노인층 1인 가구 맞벌이 부부 3인 가구 평균 소득 수준 300만 3인 가구 재난지원금 1인 가구 정부 가구 원수 하위 정확 소득 수준 확정 이날 추산 작업 돌입 기재부 관계자 소득 하위 기준 사용 자료 설명 4분기 통계청 가계 동향 조사 가구 7분위 평균 소득 535만 000원 가구원수 반영 참고 보건복지부 관계자 소득 재산 소득화 소득 인정액 논의 소득인정액 제도 산정 방식 1인 가구 40만 2인 60만 3인 80만 4인 100만 가구원 5명 100만 홍남기 경제부총리 4인 가구 재난지원금 설계 양해 말씀 강민석 청와대 대변인 5월 중순 전후 지급 최선 재난지원금 필요 재원 2차 추가 경정 예산 마련 국회 통과 장담 문재인 대통령 신속 2차 추경안 제출 총선 4월 국회 처리 계획 가능 부총리 재난지원금 1차 추경 소비쿠폰 별개 소득 하위 1차 추경 일괄 지원 예정 아이 중위소득 수준 3인 가구 재난지원금 80만 소비쿠폰 116만 특별돌 봄쿠폰 40만 236만 수령 지방 자치 단체 지급 코로나19 지원금 중복 수령 가능 부총리 지자체 정부 지원금 추가 규모 지원 사정 파악 지자체 탄력적 대응 생각 재난지원금 현금 전자화폐 지역 상품권 저금 단기간 소비 연결 기재부 관계자 지자체 보조 사업 지자체 사용 기간 설명 참고 서울시 지원금 사용 기한 6월말 경기도 3개월 일각 재산 노부부 재난지원금 재산 맞벌이 부부 반발 정부 재산 포함 기준 결과 단언 이론적 거주 지자체별 지원금 서울시 경기도 지자체 12곳 지역 주민 5만 40만 재난소득 중앙정부 지원금 액수 차이 지자체 정부 지원금 감안 최종 지급 액수 조절 
1100901.202,20200330,중앙일보,unknownactor,기본소득보다 선택과 집중(이 필요하다),기본 소득 선택 집중 필요 
1100901.202,20200330,중앙일보,unknownactor,"긴급재난지원금이라는 유례 없는 대책이 나온 것은 문 대통령의 의지가 그만큼 강해서다. 문 대통령은 틈날 때마다 ‘전례 없는 위기이니, 전례 없는 대책이 필요하다’고 강조했다. 옆에서 보기에는 (긴급재난지원금)보다 더한 것도 가능하다면 하실 것 같았다.",긴급재난지원금 유례 대책 대통령 의지 대통령 전례 위기 전례 대책 필요 강조 긴급재난지원금 가능 
1101101.202,20200330,한국일보,unknownactor,"열심히 일해서 세금 많이 내는데 지원은 못 받고. 너무 형평성에 맞지 않는다. 주려면 다 줘라.
공평하게 안줄거면 시행 자체를 하지 마라.
소득 기준으로 나누는데 불공평하다. 소득은 없지만 재산이 많은 이들은 좋겠다.
세금만 죽어라 내는 데 받는 건 하나도 없다. 이번엔 또 얼마나 내야 하나.
맞벌이는 뭐냐. 집 장만하려고 맞벌이하면서 세금은 세금대로 내는데 결국 못 받는다.",세금 지원 형평성 공평 시행 자체 소득 기준 불공평 소득 재산 세금 하나 맞벌이 장만 맞벌이 세금 세금 결국 
1101101.202,20200330,한국일보,unknownactor,작년 고소득 가구도 당장 어려우면 지원금 받도록 해야,작년 고소득 가구 당장 지원금 
1101101.202,20200330,한국일보,강 시장,"군산시의 이번 전 시민 대상 지원은 나이, 소득, 중복수급 여부와 상관없이 이날 0시 기준 주민등록상 군산시민 모두에게 다음주부터 선불카드로 전달한다
유효기간은 3개월로 어려운 지역경제에 보탬이 되도록 한다는 방침
직접적 피해를 본 소상공인 등을 선별해 지원하는 핀셋지원과 중위소득 100% 이하 중산층 세대 전체 지원 등에 대해서도 논의가 이뤄졌으나, 현시점에서 신속한 지원이 가능하고 단기간에 지역 경제를 활성화할 수 있는 기본소득방식을 선택하게 됐다",군산시 시민 대상 지원 나이 소득 중복 수급 여부 이날 0시 기준 주민 등록상 군산 시민 선불카드 전달 유효기간 3개월 지역경제 보탬 방침 직접적 피해 소상공인 선별 지원 핀셋 지원 중위소득 이하 중산층 세대 지원 논의 현시점 신속 지원 가능 단기간 지역 경제 활성화 기본 소득 방식 선택 
1100801.202,20200330,조선일보,강임준 시장,"코로나19 발생 직후, 생계가 어려워진 시민을 지원하기 위한 방안을 여러모로 검토해 왔다
직접 피해를 입은 소상공인 등을 선별해 지원하는 핀셋지원 방안, 중위소득 100% 이하 중산층 세대 전체를 지원하는 방안 등을 논의한 끝에 가장 신속하게 지원이 가능한 재난기본소득을 선택했다",코로나19 발생 생계 시민 지원 방안 검토 피해 소상공인 선별 지원 핀셋 지원 방안 중위소득 이하 중산층 세대 지원 방안 논의 신속 지원 가능 재난기본소득 선택 
1101101.202,20200330,한국일보,강훈식 당 수석대변인,어려움 속에서도 서로를 격려해가며 신뢰와 협력으로 재난을 이겨가고 있는 우리 국민들에게 힘과 위로가 될 것으로 기대한다,어려움 서로 격려 신뢰 협력 재난 국민들 위로 
1100101.202,20200330,경향신문,강훈식 수석대변인,"어려움 속에서도 서로를 격려해가며 신뢰와 협력으로 재난을 이겨가고 있는 우리 국민들에게 힘과 위로가 될 것
가용한 모든 자원과 수단을 동원해 코로나19 국난 극복을 위해 총력을 다하고 있다
정부가 2차 추경안을 제출하면 신속한 국회 처리를 위해 적극 나설 것",어려움 서로 격려 신뢰 협력 재난 국민들 위로 가용 자원 수단 동원 코로나19 국난 극복 총력 정부 2차 추경안 제출 신속 국회 처리 적극 
1100901.202,20200330,중앙일보,경기도,반대하는 지자체는 재난기본소득 지급 대상에서 제외하는 방안을 검토하겠다,반대 지자체 재난기본소득 지급 대상 제외 방안 검토 
1100801.202,20200330,조선일보,경기도,시(市) 차원에서 돈을 더 얹어 주겠다,차원 
1100801.202,20200330,조선일보,경기도,시장 군수들의 의견을 수렴한 결과 독자 추가 지급을 결정한 시 군 이외에도 도가 재정 지원을 한다면 재난기본소득을 추가 도입하겠다는 곳이 많았다,시장 군수들 의견 수렴 결과 독자 추가 지급 결정 이외 재정 지원 재난기본소득 추가 
1101001.202,20200330,한겨레,곽숙영 보건복지부 노인 정책관,기본소득(긴급재난지원금)을 수급한 후에도 생계가 어렵다면 긴급복지로 지원하는 것은 검토할 수 있다,기본 소득 긴급재난지원금 수급 생계 긴급 복지 지원 검토 
1101101.202,20200330,한국일보,구 군수,"이번 ‘지역경제살리기 종합대책’은 정부와 경남도 지원에서 제외된 군민을 지원함으로써 전 군민이 빠짐없이 지원을 받을 수 있도록 경제 사각지대를 해소하고, 거창 특색에 맞는 소상공인 특별지원대책을 수립함으로써 어려움을 겪고 있는 소상공인의 경제적 위기 극복에 초점을 맞췄다",지역 경제 종합 대책 정부 경남도 지원 제외 군민 지원 군민 지원 경제 사각지대 해소 특색 소상공인 특별 지원 대책 수립 어려움 소상공인 경제적 위기 극복 초점 
1101101.202,20200330,한국일보,구인모 거창 군수,경영난을 겪고 있는 소상공인들의 고통을 덜어주기 위한 지역경제살리기 종합대책에 사활을 건 만큼 이번 위기를 공무원과 군민들이 함께 힘을 모아 반드시 이겨낼 수 있도록 최선을 다하겠다,경영난 소상공인들 고통 지역 경제 종합대책 사활 위기 공무원 군민들 최선 
1100101.202,20200330,경향신문,국민의당,"재난 지원은 보편 지원보다 주요 피해 부문과 계층에 집중하는 것이 더 합리적
‘퍼주기’는 지양하고 적재적소에 투입돼야 한다",재난 지원 보편 지원 주요 피해 계층 집중 합리적 지양 적재적소 투입 
1100901.202,20200330,중앙일보,기획재정부 관계자,산불 홍수 대비 자금까지 끌어 쓴 지자체에서 추가적인 긴급 상황이 발생하면 예산당국이 ‘나 몰라라’ 하긴 어렵다,산불 홍수 대비 자금 지자체 추가적 긴급 상황 발생 예산당국 
1100901.202,20200330,중앙일보,기획재정부 관계자,앞으로도 재난수당 지급 계획을 발표할 지자체가 더 늘 수 있기 때문에 전반적인 예산 보완 방안을 다시 살펴봐야 할 것,재난수당 지급 계획 지자체 전반적 예산 보완 방안 
1100901.202,20200330,중앙일보,기획재정부 홍남기 장관,"지자체는 지방 사정을 고려해 (재난수당을) 추가해서 지급할 수도 있고, 지금의 방식을 좀 달리할 수도 있다",지자체 지방 사정 재난수당 추가 지급 지금 방식 
1101001.202,20200330,한겨레,기획재정부 홍남기 장관,"추경 재원은 최대한 기존 세출 사업의 구조조정으로 충당할 계획
구체적으로 코로나19 사태로 집행 부진이 예상되는 사업, 유가 금리 하락 등으로 소요가 줄어든 사업비뿐만 아니라 적극적인 노력을 통해 집행 절감이 가능한 사업들을 최대한 발굴하겠다",추경 재원 최대한 기존 세출 사업 구조 조정 충당 계획 구체적 코로나19 사태 집행 부진 예상 사업 유가 금리 하락 소요 사업비 적극적 노력 집행 절감 가능 사업들 최대한 발굴 
1100901.202,20200330,중앙일보,기획재정부 홍남기 장관,국민 소득 하위 70%(1400만 가구)를 대상으로 생계 보장과 소비 진작 효과를 동시에 낼 수 있도록 4인 가구 기준 100만원을 지급하도록 설계했다,국민 소득 하위 1400만 가구 대상 생계 보장 소비 효과 동시 4인 가구 기준 100만 지급 설계 
1100101.202,20200330,경향신문,기획재정부 홍남기 장관,국민들이 코로나19 사태로 인한 데스밸리(죽음의 계곡)를 지나가는 데 든든한 버팀목이 될 것을 약속드린다,국민들 코로나19 사태 데스밸리 죽음 계곡 버팀목 약속 
1100901.202,20200330,중앙일보,기획재정부 홍남기 장관,"세출 구조조정으로 부족하면 적자 국채 발행은 불가피하다
재정건정성을 따질 때가 아니다
지원 목적 중에 소비 진작도 있어 현금보다는 지역 소비와 직결되는 지역상품권이나 전자화폐가 효과적",세출 구조 조정 부족 적자 국채 발행 재정 건정성 지원 목적 소비 진작 현금 지역 소비 직결 지역 상품권 전자화폐 효과적 
1101001.202,20200330,한겨레,기획재정부 홍남기 장관,코로나19 사태로 대다수의 국민들이 고통을 겪고 있기 때문에 이에 대한 위로의 표현으로 정부가 긴급재난지원금을 드리게 됐다,코로나19 사태 대다수 국민들 고통 위로 표현 정부 긴급재난지원금 
1100901.202,20200330,중앙일보,기획재정부 홍남기 장관,"이번 긴급재난지원금 소요 규모는 9조1000억원 수준이며 이 중 정부 추경 규모는 약 7조1000억원이 될 것으로 판단된다
국민의 소득하위 70%(1400만 가구)를 대상으로 생계 보장과 소비 진작 효과를 동시에 낼 수 있도록 4인 가구 기준 100만원을 지급하도록 설계했다
다만 여러 가지 여건상 소득 상위 30%는 지원 대상에 포함시키지 못했다
긴급재난지원금 지원은 정부와 지자체가 8:2로 분담(서울은 차등 협의)해 추진해 나갈 것
정부는 긴급재난지원금이 국민들에게 최대한 신속히 돌아갈 수 있도록 긴급재난지원금만을 단일사업으로 하는 원포인트 추경을 하고자 한다
추경재원은 최대한 기존 세출사업의 구조조정으로 충당할 계획
빠른 시일 내에 국회에 제출하겠다",긴급재난지원금 소요 규모 9조 1000억 수준 정부 추경 규모 7조 1000억 판단 국민 소득 하위 1400만 가구 대상 생계 보장 소비 효과 동시 4인 가구 기준 100만 지급 설계 여건상 소득 상위 지원 대상 포함 긴급재난지원금 지원 정부 지자체 분담 서울 차등 협의 추진 정부 긴급재난지원금 국민들 최대 긴급재난지원금 단일 사업 원포인트 추경 추경재원 최대한 기존 세출 사업 구조 조정 충당 계획 시일 국회 제출 
1101001.202,20200330,한겨레,기획재정부 홍남기 장관,저소득층 안전망은 보다 두텁게 하고 기존 지원에 포함되지 않던 계층까지 긴급 안전망의 수혜를 받을 수 있도록 했다,저소득층 안전망 기존 지원 포함 계층 긴급 안전망 수혜 
1101101.202,20200330,한국일보,김 의원,"일단 생계에 타격을 받는 국민들을 긴급하게 구조하자는 것은 전적으로 찬성
그러나 전 국민에게 다 100만원씩 기본소득으로 간다면 국민 전체 수용성과 재원 조달 문제 등등 많은 부작용이 있을 수 있다
‘내가 신종 코로나바이러스 감염증(코로나19)으로 인해 큰 타격을 입고 있다’고 생각하는 국민의 신청을 받아 재난구조수당을 지급하고, 내년에 올해 소득의 일정 기준을 정해 고소득자들은 받은 것을 환수하는 체제로 긴급구조수당을 지급해주면 어떨까
과거 소득기준으로 재난지원금을 지급하면 현재의 생계위험을 외면하는 우를 범하게 된다
작년에 상위 30%에 속했던 가구 중 코로나19 사태로 올해 중위소득 이하로 추락한 가구의 생계위험을 외면하게 된다
지원에서 제외되는 작년 기준 고소득 가구도 당장 어려우면 지원금을 신청할 수 있도록 통로를 열어주면 된다
현재 안 받아도 될 고소득층까지 억지로 다 줄 필요도 없으니 작년 기준 고소득 가구도 필요하면 신청을 받아 지원하고, 내년 초 연말정산을 해 사정이 좋아진 경우 세금으로 조정하는 방식을 제안한다
이번 긴급 지원은 급한 불부터 잡는 1회성 집행인데 최소 3개월 정도 지급할 수 있는 대비를 해야 한다
이번 집행으로 8, 9조 정도의 예산 소요가 예상되는데 2ㆍ3차 추가경정예산뿐 아니라 올해 편성한 예산 중 코로나19 재난상황에서 집행이 불가한 항목의 돈을 투입하면 된다",생계 타격 국민들 긴급 구조 전적 찬성 국민 100만 기본 소득 국민 수용성 재원 조달 부작용 신종 코로나바이러스 감염증 코로나19 타격 생각 국민 신청 재난 구조 수당 지급 내년 소득 일정 기준 고소득자들 환수 체제 긴급 구조 수당 지급 과거 소득 기준 재난지원금 지급 생계 위험 외면 작년 상위 가구 코로나19 사태 중위소득 이하 추락 가구 생계 위험 외면 지원 제외 작년 기준 고소득 가구 당장 지원금 신청 통로 고소득층 필요 작년 기준 고소득 가구 필요 신청 지원 내년 연말정산 사정 세금 조정 방식 제안 긴급 지원 1회 집행 최소 3개월 정도 지급 대비 집행 9조 정도 예산 소요 예상 2ㆍ 3차 추가경정예산 편성 예산 코로나19 재난 상황 집행 불가 항목 투입 
1100801.202,20200330,조선일보,김경구 군산시의회 의장,"고용산업위기지역 군산에 코로나 사태까지 겹쳐 지역경제가 초토화됐다
재난기본소득을 통해 하루하루 힘든 삶을 이어가는 시민들에게 작은 힘이 될 수 있도록 시 의회도 입법절차 및 예산 편성에 적극적으로 협조할 계획",고용 산업 위기 지역 군산 코로나 사태 지역경제 초토화 재난기본소득 하루하루 시민들 의회 입법 절차 예산 편성 적극적 협조 계획 
1101001.202,20200330,한겨레,김경수 경남도지사,"재난기본소득을 전 국민에게 1인당 100만원씩 지급해달라
취약계층에 대한 선별 지원이 우선",재난기본소득 국민 1인당 100만 지급 취약계층 선별 지원 
1100901.202,20200330,중앙일보,김기문 중소기업중앙 회장,"소상공인과 중소기업은 최근 매출이 거의 제로(0원)가 됐다
사회보험료를 한시적으로 전액 지원해야 한다",소상공인 중소기업 매출 제로 0원 사회 보험료 한시적 전액 지원 
1100101.202,20200330,경향신문,김병권 당 정책본부장,정의당은 모든 국민에게 100만원 비상생계자금 지원을 요청했으나 정부는 또 선별의 잣대를 들고나와 신속한 집행을 어렵게 만들었다,정의당 국민 100만 비상 생계 자금 지원 요청 정부 선별 잣대 신속 집행 
1100901.202,20200330,중앙일보,김원식 건국대 경제학과 교수,"재정건전성이 악화하면 향후 경기부양 여력은 물론 국가신용도까지 약해질 수 있다
피해가 심한 지역 취약 계층에 대한 선별 지원이 재정은 덜 쓰면서 효과는 클 수 있다",재정건전성 악화 향후 경기부양 여력 국가 신용 피해 지역 취약 계층 선별 지원 재정 효과 
1100901.202,20200330,중앙일보,김원식 건국대 경제학과 교수,"중앙정부는 근로장려금 확대, 4대 보험료 경감 등 적은 행정비용으로 집행할 수 있는 소득 지원 대책마저도 신속하게 수립하지 못했다",중앙정부 근로장려금 확대 4대 보험료 경감 행정 비용 집행 소득 지원 대책 신속 수립 
1100901.202,20200330,중앙일보,김원식 건국대 경제학과 교수,"지자체 자체 판단으로 재난지원금 지급에 나설 순 있겠지만, 정부는 재정 자립도가 낮은 지자체 위주로 지원해 균형을 맞추는 방식이 바람직하다",지자체 자체 판단 재난지원금 지급 정부 재정 자립 지자체 위주 지원 균형 방식 
1101001.202,20200330,한겨레,김형구 민생당 선대위 대변인,"무엇보다도 중요한 것은 긴급재난지원금의 신속한 지급
미흡한 부분은 있지만 빠른 시일에 집행할 수 있도록 민생당은 적극 협조할 것",중요 긴급재난지원금 신속 지급 미흡 시일 집행 민생당 적극 협조 
1100901.202,20200330,중앙일보,당 유승민 의원,"기초생활수급대상이 있고 그 위에 차상위가 있듯이 제일 절실한 사람한테 더 많이 주는, 계단식으로 하는 것이 옳다",기초 생활 수급 대상 차상위 사람 계단 
1100801.202,20200330,조선일보,대통령 문재인,"4월 총선 직후 국회에서 추가경정예산(추경)안이 통과되면, 5월 중순 전후로 실제 지급될 수 있도록 최선을 다할 것",4월 총선 국회 추가 경정 예산 추경 통과 5월 중순 전후 실제 지급 최선 
1100801.202,20200330,조선일보,대통령 문재인,가구당 100만원의 긴급재난지원금을 지급하겠다,가구당 100만 긴급재난지원금 지급 
1101001.202,20200330,한겨레,대통령 문재인,쉽지 않은 결정이었고 많은 회의와 토론을 거쳤다,결정 회의 토론 
1101001.202,20200330,한겨레,대통령 문재인,"(코로나19 탓에) 어려운 국민들의 생계를 지원하고, 방역의 주체로 일상활동을 희생하며 위기극복에 함께 나서준 것에 위로와 응원이 필요하다
정부는 지자체와 협력해 중산층을 포함한 소득하위 70% 가구에 대해 4인가구 기준으로 가구 당 100만원의 긴급재난지원금을 지급하기로 결정했다
쉽지 않은 결정이었고 많은 회의와 토론을 거쳤다
코로나19로 인해 모든 국민이 고통받았고 모든 국민이 함께 방역에 참여했다. 모든 국민이 고통과 노력에 대해 보상받을 자격이 있다
정부로서는 뜻을 알 수 없는 경제충격에 대비하고 고용불안과 기업의 유동성 위기에 신속하게 대처하기 위해 재정여력을 최대한 비축할 필요가 있다. 경제적으로 좀 더 견딜 수 있는 분들은 보다 소득이 적은 분들을 위해 널리 이해하고 양보해주실 것을 당부드린다
긴급재난지원금은 신속한 지급이 무엇보다 중요하므로 신속하게 2차 추경안을 제출하고 총선 직후 4월 중으로 국회에서 처리되도록 할 계획
재정여력 비축과 신속한 여야 합의를 위해 재원 대부분을 뼈를 깎는 정부예산 구조조정으로 마련하겠다. 국회의 협력을 당부드린다
3월 분부터 저소득계층과 일정 규모 이하의 중소기업 소상공인 자영업자들을 위한 4대보험료와 전기요금의 납부유예 또는 감면을 적용하겠다
치명률이 낮다는 걸로 위안 삼을 수는 없다
우리는 코로나19를 이겨가고 있지만, 그 과정에서 사망자가 적지않게 발생해 마음이 매우 무겁다
다른 나라에 비해 치명률이 상대적으로 낮다는 것으로 위안을 삼을 수 없다
정신병원과 요양병원 등 기저질환, 약한 면역력 등으로 치명률이 특별히 높은 집단 취약시설에 대한 방역에 각별한 노력을 기울여주기 바란다
어려움 속에서도 서로를 격려해가며 신뢰와 협력으로 재난을 이겨가고 있는 국민들께 한없는 존경과 감사를 드린다",코로나19 국민들 생계 지원 방역 주체 일상 활동 희생 위기극복 위로 응원 필요 정부 지자체 협력 중산층 포함 소득 하위 가구 4인 가구 기준 가구 100만 긴급재난지원금 지급 결정 결정 회의 토론 코로나19 국민 고통 국민 방역 참여 국민 고통 노력 보상 자격 정부 경제 충격 대비 고용불안 기업 유동성 위기 신속 대처 재정 여력 최대 비축 필요 경제적 소득 이해 양보 당부 긴급재난지원금 신속 지급 중요 신속 2차 추경안 제출 총선 4월 국회 처리 계획 재정 여력 비축 신속 여야 합의 재원 정부예산 구조 조정 마련 국회 협력 당부 3월 저소득 계층 일정 규모 이하 중소기업 소상공인 자영업자들 4대 보험료 전기요금 납부 유예 감면 적용 치명률 위안 코로나19 사망자 발생 마음 나라 치명률 상대적 위안 정신병원 요양병원 기저질환 면역력 치명률 집단 취약 시설 방역 각별 노력 어려움 서로 격려 신뢰 협력 재난 국민들 존경 감사 
1100801.202,20200330,조선일보,대통령 문재인,"긴급재난지원금이 신속히 집행되도록 정부는 뼈를 깎는 세출 구조조정을 통해 2차 추경을 조속히 해야 한다
1, 2차 비상경제회의에서 언론 국민의 예상을 넘어서는 과감함이 있었다
코로나 방역 신뢰에 이어 경제 정책에 대한 신뢰로 이어져야 한다
경제위기 극복의 핵심은 고용과 일자리
긴급재난지원금 외에 지자체가 고용 사업을 강화하도록 하라
전통적 특수고용직 노동자 외에 플랫폼 노동자들 등 새로운 노동자들이 정책 대상에 편입돼야 하는 만큼 (이들을) 최대한 망라할 수 있도록 추가 사각 지대 파악에 노력해 달라",긴급재난지원금 집행 정부 세출 구조조정 2차 추경 2차 비상 경제 회의 언론 국민 예상 코로나 방역 신뢰 경제 정책 신뢰 경제위기 극복 핵심 고용 일자리 긴급재난지원금 지자체 고용 사업 강화 전통적 특수 고용 노동자 플랫폼 노동자들 노동자들 정책 대상 편입 최대한 망라 추가 사각 지대 파악 노력 
1100101.202,20200330,경향신문,대통령 문재인,"오늘 3차 회의에서 결정한 긴급재난지원금이 신속히 집행되도록 정부는 앞으로 뼈를 깎는 세출 구조조정을 통해 2차 추경안을 조속히 마련해야 한다
경제 위기 극복의 핵심은 고용과 일자리
100만원의 긴급재난지원금 외에 지자체가 일자리를 자체적으로 늘리기 위한 고용사업을 더 강화했으면 한다
사각지대는 끊임없이 존재한다. 특수고용직 노동자만 해도 전통적 특수고용직의 범주로 파악하는 노동자 외에 플랫폼 노동자 같은 새로운 형태의 노동자가 있다
새로운 정책의 대상에 편입되어야 할 국민들인 만큼 노동부는 이분들을 최대한 망라할 수 있도록 추가로 사각지대를 파악하기 위해 노력해 달라",3차 회의 결정 긴급재난지원금 집행 정부 세출 구조조정 2차 추경안 마련 경제 위기 극복 핵심 고용 일자리 100만 긴급재난지원금 지자체 일자리 자체적 고용 사업 강화 사각지대 존재 특수 고용 노동자 전통적 특수 고용 범주 파악 노동자 플랫폼 노동자 형태 노동자 정책 대상 편입 국민들 노동부 최대한 망라 추가 사각지대 파악 노력 
